Question,Answer,Class
My order hasn't arrived yet. What should I do?,"We apologize for the delay. Please check your order status on our website to see if there are any updates. If you still have questions, please contact our customer service team for assistance.",order status
The product I received is damaged. How can I get a replacement?,We're sorry to hear that your product was damaged. Please contact our customer service team as soon as possible and provide photos of the damaged item. We'll be happy to send you a replacement at no extra cost.,replacement
Can I exchange my old microwave for new one,based on the product it differs please refer to product description,exchange
I received the wrong product. How can I get the right one?,We apologize for the mistake. Please contact our customer service team as soon as possible and provide the order number and details of the incorrect item you received. We'll be happy to send you the correct item at no extra cost.,replacement
How can I track my order?,"You can track your order on our website by logging into your account and selecting the ""Order Status"" option. You'll be able to see the current status of your order and any updates.",track
I have a question about a product. Can you help me?,Absolutely! Please contact our customer service team and provide the details of the product you're interested in. We'll be happy to answer any questions you have.,enquire
I need to return a product. What is your return policy?,"Our return policy varies by product. Please visit our website and click on the ""Returns"" tab for more information. If you have any questions or concerns, please contact our customer service team.",return policy
Does this support open box inspection?,based on the product it differs please refer to product description,inspection
I'm having trouble logging into my account. What should I do?,"Please try resetting your password by clicking on the ""Forgot Password"" link on the login page. If you're still having trouble, please contact our customer service team for assistance.",account access
I have a question about my billing statement. Can you help me?,Sure! Please contact our customer service team and provide the details of your billing statement. We'll be happy to answer any questions you have.,payment issue
I received a defective product. What should I do?,We apologize for the inconvenience. Please contact our customer service team as soon as possible and provide photos of the defective item. We'll be happy to send you a replacement at no extra cost.,quality
I have a question about your return policy. Can you help me?,"Absolutely! Please visit our website and click on the ""Returns"" tab for more information. If you still have questions or concerns, please contact our customer service team.",return policy
I'm having trouble placing an order. What should I do?,"Please check that your payment information is correct and that your shipping address is complete. If you're still having trouble, please contact our customer service team for assistance.",order 
I received the wrong size product. Can I exchange it for the right size?,Absolutely,product issue
"Hi, how can I return an item I purchased?",Hello! You can initiate a return within 30 days of purchase through your account on our website or by contacting our customer support team.,return policy
Can I exchange an item instead of returning it?,"Yes, we do offer exchanges for eligible items. You can initiate an exchange through your account on our website or by contacting our customer support team",exchange
How long does it take to process a return or exchange?,"It usually takes 3-5 business days to process a return or exchange once we receive the item. However, processing times may vary based on the volume of returns and exchanges we are currently handling.",exchange
What if I used a discount code on the item I want to return or exchange?,"If you used a discount code on the item, the refund or exchange will be processed based on the discounted price you paid.",discount
"Okay, thank you for the information!","You're welcome! If you have any further questions or need any other information, feel free to ask. We're here to assist you.",thank you
How long will it take for the refund to get credited into the account ?,The refund will be credited into your account within 8 days,refund
Is there no refund for the product instead of replacement ?,"No, refund is not available for this product ",refund
Display fingerprint lock availabale,which product you are searching for,product enquiry
My payment got interrupted due to network issue. what should i do?,"Don't worry sir/madam, if your order didn't get placed but transaction was done, your amount will be credited back into your account ",payment issue
How can i create a profile in this website?,"I'll guide you through the process, you can create a profile using your Google account or you can create by using your mobile number and email id.",account access
How can i give feedback to the product i bought?,You can give the feedback by opening the product you bought from the cart and you can rate it.,feedback
I've forgotten my password for my account. what i should do?,You can reset your password for your account by entering the OTP you receive through your email or mobile number ,account access
My product hasn't been delivered by the time it should be delivered. what i should do?,"Sorry for the delay, we'll look into the issue and resolve it , will deliver your product soon.",order status
What are the features and specifications of this mobile phone?,"According to the information given, these are the features of the mobile phone from the product page.",product enquiry
What are the different payment methods we can use to buy the product?,"You can buy using credit card, debit card,UPI and Emi installment is also available.",payment issue
"Hi there, what can I do on this website?","Hello! This website is an e-commerce platform where you can buy products online. We have a wide range of products including electronics, clothing, books, and more. You can browse our categories and products, add items to your cart, and checkout securely.",account access
That sounds good. Can I pay with my credit card?,"Yes, we accept credit card payments. We also accept other payment methods such as PayPal and Apple Pay. You can choose your preferred payment method during checkout.",payment issue
How long will it take for my order to arrive?,"It depends on your location and the shipping option you choose. We offer standard and expedited shipping options. Standard shipping usually takes 3-7 business days, while expedited shipping takes 1-3 business days. Once your order is shipped, you will receive a tracking number so you can track your package.",order status
Can I return my order if I'm not satisfied?,"Yes, we have a 30-day return policy. If you are not satisfied with your order, you can return it for a refund or exchange. Please check our return policy page for more information.",return policy
"Alright, thanks for the information.",You're welcome! Let me know if you have any other questions.,thank you
"Hi there, I'm looking for a specific product. Can you help me find it?","Hi! Sure, I'd be happy to help. What product are you looking for?",product enquiry
"Hello, I have a question about your services.",Hi! I'm here to help. What's your question?,product enquiry
"Hey, can you tell me more about your company?","Hello! We're an e-commerce platform that offers a wide range of products for online shopping. Would you like to know more about our company history, our team, or our mission?",platform
"Hi, I'm new to this website. Where should I start?",Hi there! Welcome to our website. We suggest browsing our categories and products to find what you're interested in. You can also check out our featured products or bestsellers for some ideas.,platform
"Hey, is there any ongoing sale or promotion?","Hi! Yes, we have a sale going on right now. You can check our homepage or promotions page to see the latest deals and discounts.",offers
hii,"hlo,I'm here to help you",greet
"Hi, I'm having trouble with my account. Can you help me?",Hi there! I'd be happy to help. Can you please provide me with your account information and a brief description of the issue?,account access
how much time does it take for delivery,The delivery time can vary depending on the shipping method chosen and the destination. Please provide us with your order details and we will be happy to provide an estimated delivery time.,order status
what's shipping duration,Shipping duration refers to the amount of time it takes for your order to be shipped from our warehouse to its final destination. ,order status
how long does it take for product to ship,"Shipping time varies based on several factors like the product availability, shipping method, and delivery location. Kindly provide us with the product details and delivery address for an estimated shipping time.",order status
when will my product be delivered,"Delivery time depends on the shipping method chosen and the destination. Kindly provide us with your order details, and we will be happy to provide an estimated delivery time.",order status
what are payment modes you support,"We support various payment methods, including credit/debit cards, PayPal, and bank transfers. At the checkout page, you will be able to see the available payment methods for your location.",payment issue
do you support UPI payments?,"Yes, we do support UPI payments. At the checkout page, please select UPI as the payment method, and follow the instructions to complete the payment.",payment issue
can I pay on delivery?,"We currently do not offer a pay on delivery option. We apologize for any inconvenience this may cause. We do offer various other payment options, including credit/debit cards, PayPal, and bank transfers.",payment issue
is COD available,"We apologize, but we currently do not offer a cash on delivery (COD) payment option. We offer various other payment methods such as credit/debit cards, PayPal, and bank transfers. Please select a suitable payment method at the checkout page.",payment issue
what are rules for returning a product,"Our return policy allows you to return products within a specified time frame from the date of delivery, provided the product is unused and in its original packaging with all the tags intact. The return policy may vary depending on the product category and your location. Please refer to our website or contact our customer support for more details regarding our return policy.",return policy
how do I return a product,"To initiate a product return, please follow the steps below:

Log in to your account on our website and go to the ""Orders"" section.
Select the order containing the product you wish to return.
Choose the product you wish to return and provide a reason for the return.
Our customer support team will review your return request and provide you with further instructions.
Please note that the return process may vary depending on your location and the product category.





",return policy
am I eligible to return a product,"To determine if you are eligible to return a product, please refer to our return policy on our website. Generally, products can be returned within a specified time frame from the date of delivery, provided the product is unused and in its original packaging with all the tags intact. However, the return policy may vary depending on the product category and your location. If you have any doubts, please contact our customer support team for further assistance.",return policy
guidelines for returning a product,"To ensure a smooth return process, please follow the guidelines below:

Check our return policy on our website to ensure you are eligible for a return.
Make sure the product is unused, in its original packaging, and has all the tags intact.
Log in to your account on our website and go to the ""Orders"" section.
Select the order containing the product you wish to return.
Choose the product you wish to return and provide a reason for the return.
Our customer support team will review your return request and provide you with further instructions.
Pack the product securely in a box with the original packaging and any accessories or free gifts that came with it.
Send the product back to us via a reputable shipping carrier with a tracking number.
Once we receive the product and confirm that it meets our return policy guidelines, we will process your refund.
Please note that the return process may vary depending on your location and the product category.",return policy
return policy,"Our return policy allows you to return products within a specified time frame from the date of delivery, provided the product is unused and in its original packaging with all the tags intact. The return policy may vary depending on the product category and your location.

Please note the following points regarding our return policy:

Products must be returned within the specified time frame from the date of delivery.
Products must be unused and in their original packaging with all the tags intact.
Some products may not be eligible for return due to hygiene or safety reasons.
The return shipping cost may be borne by the customer.
Refunds will be processed once the product is received and confirmed to meet our return policy guidelines.
For more details regarding our return policy, please refer to our website or contact our customer support team.",return policy
how do I track my product,"To track your product, please follow the steps below:

Log in to your account on our website and go to the ""Orders"" section.
Find the order containing the product you wish to track.
Look for the tracking information for your shipment, which will be displayed on the order details page.
Click on the tracking number or link to track your shipment.
If you have any issues or questions regarding your product's tracking information, please contact our customer support team for further assistance.",track
I want a new laptop,"Great! We would be happy to assist you in finding a new laptop. What are your specific requirements? Do you have a preferred brand, operating system, or budget in mind?",product enquiry
what's the package dimension and weight please,"Package dimension is 45 x 26 INCH, weight is 3 kg.",shipping enquiry
Is this bed only the mattress or with the cot?,not as good as requird,product enquiry
Can I get customised size 75|54,"Yes , We will customize the mattress,",product enquiry
Is this mattress (72 x 60) available in 8 or 10 inches thickness?,Yes sir We have 72x60 in 8 inch thickness,product enquiry
